date,rank,movieCd,movieNm,audiCnt,audiAcc,salesAmt,openDt
2026-08-14,1,20250654,오디세이,329049,3179788,3773930780,2026-08-05
2026-08-14,2,20262770,스파이더맨: 브랜드 뉴 데이,154950,6666489,1649304980,2026-07-29
2026-08-14,3,20264635,명탐정 코난: 하이웨이의 타천사,28804,138311,296085500,2026-08-12
2026-08-14,4,20255484,오케이 마담2,26242,109228,246894300,2026-08-12
2026-08-14,5,20262381,사랑의 하츄핑: 고래보석의 전설,14427,514026,134219450,2026-08-05
2026-08-14,6,20233219,호프,9171,4446024,96355870,2026-07-15
2026-08-14,7,20262945,퍼피 구조대: 더 다이노 무비,3507,11493,32858950,2026-08-13
2026-08-14,8,20264148,어떻게 해야 했을까?,2465,62278,25341900,2026-07-29
2026-08-14,9,20185485,보헤미안 랩소디,2111,9952635,23478750,2018-10-31
2026-08-14,10,20261784,미니언즈 & 몬스터즈,1460,771939,11059550,2026-07-15
