date,movieNm,trendDate,audiCnt
2026-03-04,왕과 사는 남자,2026-02-26,204929
2026-03-04,왕과 사는 남자,2026-02-27,278061
2026-03-04,왕과 사는 남자,2026-02-28,655721
2026-03-04,왕과 사는 남자,2026-03-01,817193
2026-03-04,왕과 사는 남자,2026-03-02,728936
2026-03-04,왕과 사는 남자,2026-03-03,194482
2026-03-04,왕과 사는 남자,2026-03-04,189641
2026-03-04,호퍼스,2026-02-26,0
2026-03-04,호퍼스,2026-02-27,0
2026-03-04,호퍼스,2026-02-28,0
2026-03-04,호퍼스,2026-03-01,22185
2026-03-04,호퍼스,2026-03-02,29415
2026-03-04,호퍼스,2026-03-03,0
2026-03-04,호퍼스,2026-03-04,17155
2026-03-04,브라이드!,2026-02-26,0
2026-03-04,브라이드!,2026-02-27,0
2026-03-04,브라이드!,2026-02-28,0
2026-03-04,브라이드!,2026-03-01,0
2026-03-04,브라이드!,2026-03-02,0
2026-03-04,브라이드!,2026-03-03,0
2026-03-04,브라이드!,2026-03-04,7358
2026-03-04,휴민트,2026-02-26,21909
2026-03-04,휴민트,2026-02-27,22005
2026-03-04,휴민트,2026-02-28,47959
2026-03-04,휴민트,2026-03-01,54656
2026-03-04,휴민트,2026-03-02,41508
2026-03-04,휴민트,2026-03-03,10756
2026-03-04,휴민트,2026-03-04,6837
2026-03-04,매드 댄스 오피스,2026-02-26,0
2026-03-04,매드 댄스 오피스,2026-02-27,0
2026-03-04,매드 댄스 오피스,2026-02-28,0
2026-03-04,매드 댄스 오피스,2026-03-01,0
2026-03-04,매드 댄스 오피스,2026-03-02,0
2026-03-04,매드 댄스 오피스,2026-03-03,0
2026-03-04,매드 댄스 오피스,2026-03-04,5420
2026-03-04,우리는 매일매일,2026-02-26,0
2026-03-04,우리는 매일매일,2026-02-27,0
2026-03-04,우리는 매일매일,2026-02-28,0
2026-03-04,우리는 매일매일,2026-03-01,0
2026-03-04,우리는 매일매일,2026-03-02,0
2026-03-04,우리는 매일매일,2026-03-03,0
2026-03-04,우리는 매일매일,2026-03-04,2523
2026-03-04,너자 2,2026-02-26,5841
2026-03-04,너자 2,2026-02-27,3638
2026-03-04,너자 2,2026-02-28,7981
2026-03-04,너자 2,2026-03-01,7249
2026-03-04,너자 2,2026-03-02,6934
2026-03-04,너자 2,2026-03-03,1840
2026-03-04,너자 2,2026-03-04,2512
2026-03-04,다이 마이 러브,2026-02-26,0
2026-03-04,다이 마이 러브,2026-02-27,0
2026-03-04,다이 마이 러브,2026-02-28,0
2026-03-04,다이 마이 러브,2026-03-01,0
2026-03-04,다이 마이 러브,2026-03-02,0
2026-03-04,다이 마이 러브,2026-03-03,0
2026-03-04,다이 마이 러브,2026-03-04,2164
2026-03-04,햄넷,2026-02-26,3031
2026-03-04,햄넷,2026-02-27,2752
2026-03-04,햄넷,2026-02-28,4566
2026-03-04,햄넷,2026-03-01,4339
2026-03-04,햄넷,2026-03-02,4601
2026-03-04,햄넷,2026-03-03,2231
2026-03-04,햄넷,2026-03-04,1979
2026-03-04,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-02-26,0
2026-03-04,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-02-27,0
2026-03-04,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-02-28,0
2026-03-04,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-03-01,0
2026-03-04,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-03-02,0
2026-03-04,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-03-03,0
2026-03-04,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-03-04,1754
