week,rank,channel,title,rating
2026-10,1,KBS2,KBS2주말드라마(사랑을처방해드립니다),16.6
2026-10,2,KBS1,일일드라마(마리와별난아빠들),11.4
2026-10,3,SBS,미운우리새끼다시쓰는육아일기,9.4
2026-10,4,KBS2,KBS2일일드라마(붉은진주),8.8
2026-10,5,KBS1,인간극장,7.6
2026-10,6,KBS1,KBS9시뉴스,7.5
2026-10,7,KBS2,1박2일,7.2
2026-10,7,MBC,MBC뉴스데스크,7.2
2026-10,9,KBS2,불후의명곡,6.1
2026-10,9,KBS1,아침마당,6.1
2026-10,11,KBS1,동네한바퀴,6.0
2026-10,12,KBS1,가요무대,5.9
2026-10,13,MBC,나혼자산다,5.7
2026-10,13,KBS1,전국노래자랑,5.7
2026-10,15,MBC,일일드라마(첫번째남자),5.5
2026-10,16,KBS2,살림하는남자들,5.2
2026-10,17,KBS1,6시내고향,5.1
2026-10,18,KBS1,특파원보고세계는지금,5.0
2026-10,19,MBC,놀면뭐하니,4.9
2026-10,19,KBS1,한국인의밥상,4.9
